Usuario,Maquina do Usuario,Impressora,Status,Data e Hora
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:44:55
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:44:23
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:22:43
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:17:58
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:13:28
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:13:11
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:11:14
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:10:11
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:05:41
luana.monteiro,PC0801,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 16:04:55
luana.monteiro,PC0801,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 16:04:39
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:04:14
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:03:05
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:03:04
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:02:41
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:02:41
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:02:23
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:02:23
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:00:53
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:00:53
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:41:17
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:41:09
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 15:41:02
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 15:40:27
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 15:38:57
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 15:37:34
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 15:36:32
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 15:35:42
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 15:35:16
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 15:34:46
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:34:36
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:34:05
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:32:02
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:24:39
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:24:35
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:24:05
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 15:24:00
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:20:42
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:20:29
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:19:35
sabrina.smoginski,PC0201,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 15:17:52
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:16:07
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:14:47
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:12:33
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:12:33
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:12:03
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:12:03
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:06:22
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:06:01
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:01:52
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 15:01:17
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 14:43:43
luana.monteiro,PC0801,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:35:14
luana.monteiro,PC0801,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:35:10
luana.monteiro,PC0801,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:32:12
luana.monteiro,PC0801,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:32:10
alexandrina.bueno,PC0602,IMP-FINANCEIRO,Spooler Operation Succeeded,02/08/2024 14:30:56
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 14:30:11
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 14:24:17
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 14:22:14
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 14:22:11
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 14:21:54
alexandrina.bueno,PC0602,IMP-FINANCEIRO,Spooler Operation Succeeded,02/08/2024 14:21:22
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:20:57
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:20:12
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 14:19:58
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 14:19:40
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 14:19:02
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 14:15:24
estagiarios.cabana,PC0401,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 14:15:04
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:13:46
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:13:44
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:13:16
alexandrina.bueno,PC0602,IMP-FINANCEIRO,Spooler Operation Succeeded,02/08/2024 14:13:14
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:13:13
alexandrina.bueno,PC0602,IMP-FINANCEIRO,Spooler Operation Succeeded,02/08/2024 14:12:56
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:12:24
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:12:15
